Statement,Sentiment
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive
CEO Erkki J+Ã±rvinen is happy with the company 's performance in 2010 .,positive
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative
The main strength of the cooperation project lies in merging the know-how of two large companies .,positive
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,negative
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive
Just went long $ILMN,positive
Johnson Matthey share price slumps as company posts full-year results,negative
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative
The number of bodily injury cases quadrupled in 2000-2006 .,negative
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,positive
And U.S. energy executives say high steel prices are threatening energy exploration .,negative
Tesco sales rise shows tentative recovery continues,positive
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative
Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,positive
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative
"$TSLA steaming up again, this stock is relentless at the moment",positive
Whitbread share price climbs on Q4 sales growth,positive
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive
Talentum 's net sales in September were smaller than expected .,negative
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative
"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive
Altogether Finnair has canceled over 500 flights because of the strike .,negative
$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive
"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",positive
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,positive
Slump in Weir leads FTSE down from record high,negative
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,positive
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",negative
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",positive
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive
$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,negative
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive
Aviva promises higher dividends to boost flagging share price,positive
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",positive
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive
"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",positive
"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",positive
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",negative
The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,positive
FDA approves AstraZeneca drug for advanced lung cancer,positive
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",positive
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,negative
WPP boosts sales despite cautious clients,positive
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",negative
`` Consumers have very well received our packed fresh meat .,positive
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",positive
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",negative
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",positive
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive
( I&H ) in a move to enhance growth .,positive
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,negative
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",positive
$AAPL price momentum weakening going into the close.,negative
Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,positive
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",negative
TalkTalk hires BAE Systems to investigate cyber attack,negative
"FTSE led lower by M&S, GlaxoSmithKline",negative
Full-year operating result for 2008 was 3.6 million negative .,negative
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative
Barclays sells benchmark indices unit to Bloomberg,positive
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,negative
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",positive
Shire Sees Baxalta Deal Closing as Expected After New Rules,positive
Sanoma News ' advertising sales decreased by 22 % during the year .,negative
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative
The maritime administration said the ships had ignored warnings about the icy conditions .,negative
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,positive
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,positive
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",negative
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",positive
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",positive
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",positive
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",positive
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative
"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",positive
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative
The total need for staff cuts corresponds to about 300 man-years .,negative
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive
CompaniesFresnillo shares jump 8% as silver price breaks $21,positive
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",positive
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative
$DARA breaking out,positive
$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive
Shire says internal synergy goals from Baxalta deal higher,positive
$GNRC finding support at its 10-day line so far.,positive
"Britain's FTSE falls back with Ashtead, commodities under pressure",negative
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",positive
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",positive
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",negative
City spirits sink after Diageo comes up short with sales slide,negative
Olvi has posted a strong set of figures for the first six months of this year .,positive
StanChart and RBS struggle in Bank of England stress tests,negative
"In the beginning of this year , Wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",positive
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",negative
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",positive
BHP Billiton share price: Brazil to sue Samarco for Ã‚Â£3.5bn,negative
"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",positive
"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",negative
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",positive
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",negative
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,negative
Orders received grew by 55 % year-on-year to EUR732m .,positive
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",negative
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",positive
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+Â®cs , where the company has two plants .",positive
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,negative
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",positive
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",negative
Royal Mail chairman Donald Brydon set to step down,negative
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",positive
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive
Morrisons finance chief to fill gap as CEO leaves early,negative
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive
BAE Systems's sales boosted by European Typhoon and currencies,positive
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",positive
"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",positive
$AAPL Dips being bought up real quick. Higher lows fo sho,positive
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",negative
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,positive
All of Raisio 's divisions recorded an operating profit .,positive
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,negative
"Buffett's Berkshire builds Deere stake, dumps Exxon",positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,positive
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive
$MXWL Oh snap. Just went long again. LT,positive
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",negative
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,positive
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,negative
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,positive
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",positive
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",positive
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",positive
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",positive
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),positive
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive
"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",positive
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive
`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,positive
"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj .",positive
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,positive
Glencore fight back over debt fears lifts shares,positive
$FB slight green... May be runner later,positive
Net sales have been eaten by the weak US dollar .,negative
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,negative
It estimates the operating profit to further improve from the third quarter .,positive
Tesco sales recover as focus returns to core business,positive
Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,negative
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,positive
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,positive
Sports equipment sales also progressed well owing to the prolonged winter season .,positive
pretty steady accumulation off support today.  Purdy. $AGU,positive
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",negative
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",positive
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive
Sainsbury's says to outperform rivals in tough market,positive
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,positive
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,positive
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,positive
Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,positive
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,positive
